Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
infer/19,6.4824499954291935e-6,6.479692906651274e-6,6.485760303579547e-6,1.0385987812181607e-8,8.385809693010051e-9,1.310535038424439e-8
infer/20,4.926688682465066e-6,4.922892851883561e-6,4.931245885942548e-6,1.463285909368264e-8,1.2505945735933719e-8,1.7305254499987915e-8
infer/21,4.831497221557198e-6,4.827198796295808e-6,4.8354934224165596e-6,1.4102168215995812e-8,1.1455253720301792e-8,1.8188858189615313e-8
infer/22,1.3584525429192758e-6,1.356588195439842e-6,1.3606555108357572e-6,6.906506843486436e-9,5.54032455155218e-9,8.608329700912504e-9
infer/23,7.418724232809841e-6,7.377394038162098e-6,7.5765156601801485e-6,2.533033685864652e-7,2.120331183493842e-8,5.362866914097639e-7
infer/24,5.5519558465828236e-6,5.543770366904241e-6,5.558660550078913e-6,2.490360313250223e-8,1.955203851405117e-8,3.843483429734086e-8
infer/25,4.451072890585743e-6,4.44563474092691e-6,4.456959396625777e-6,1.8675512524007104e-8,1.5486219999824368e-8,2.23575377584534e-8
infer/26,1.4056995203904741e-5,1.4051526065170316e-5,1.4064355654098848e-5,2.131152319477223e-8,1.6727628102052792e-8,3.255075624301483e-8
infer/27,9.383933027615595e-6,9.380692259187226e-6,9.387733409101535e-6,1.2307445967643334e-8,9.541048701606876e-9,1.5894261817892834e-8
infer/28,5.116781334971848e-6,5.110352786882467e-6,5.122161401813314e-6,1.926335754773912e-8,1.5200821673410216e-8,2.533316795938999e-8
infer/29,1.6621275320211388e-5,1.66150145566497e-5,1.663385885040205e-5,2.8277389134701414e-8,1.633281023885922e-8,5.036627566338858e-8
infer/30,1.1093242799721094e-5,1.1081140602901981e-5,1.1107015815833391e-5,4.4128593552588185e-8,3.434773205149457e-8,7.372888240226438e-8
infer/31,6.208385865597112e-6,6.205753796772779e-6,6.2157160087796465e-6,1.4105144885246532e-8,5.931087272567347e-9,2.795637266522394e-8
infer/32,1.4194301076641284e-5,1.418688846261198e-5,1.4201596687113686e-5,2.483517743003877e-8,2.1695818909445755e-8,2.930425624290652e-8
infer/33,1.8564165047843957e-5,1.854668391300419e-5,1.8587371492765054e-5,6.85627548372645e-8,5.359812154716247e-8,9.518610126434853e-8
infer/34,2.6307673109676975e-5,2.630176463837637e-5,2.6314107059936792e-5,2.1140995865300512e-8,1.6805869218667253e-8,2.7521835189762823e-8
infer/35,2.2045338338225654e-5,2.2037935863214695e-5,2.2052111533123173e-5,2.348151301035186e-8,2.0043257717565525e-8,2.7604702786101294e-8
infer/36,1.4488170958854682e-5,1.4482923724482424e-5,1.4494207429390857e-5,1.9739500592456877e-8,1.5482044767289825e-8,2.7604141710523885e-8
infer/37,1.166355951525716e-5,1.166082569378005e-5,1.166604262061741e-5,8.870451977782795e-9,7.647990133654889e-9,1.0702849398014768e-8
infer/38,2.7310193497962778e-5,2.7304870210394254e-5,2.7316769995723768e-5,2.0566765448723776e-8,1.565994324830232e-8,3.037192563670526e-8
infer/39,2.1932771886396688e-5,2.1864543547518792e-5,2.2090745561107182e-5,3.2381516121446056e-7,2.8034798611383525e-8,7.080335866907298e-7
infer/40,2.7187659775149505e-5,2.7182257482469382e-5,2.719645484848711e-5,2.2874591071452354e-8,1.7227596709789103e-8,3.2953585148861476e-8
infer/41,8.487859870033155e-6,8.479280042019152e-6,8.496733731015085e-6,2.9773148325747996e-8,2.5820326623959472e-8,3.4023571674684e-8
infer/42,2.9115216661926564e-5,2.910118707676166e-5,2.9126322871097173e-5,4.1498077287620314e-8,2.983167173903989e-8,5.8153633754631014e-8
infer/43,3.2529855855880205e-5,3.25234411147556e-5,3.25383190103189e-5,2.504646383849774e-8,1.8539211112718538e-8,4.0635175232574607e-8
infer/44,3.159999455304011e-5,3.1594056612377664e-5,3.160760883451952e-5,2.218042532392261e-8,1.6756484332889037e-8,3.219885734422282e-8
infer/45,2.9509607875110255e-5,2.9490198820411873e-5,2.9528982611308488e-5,6.307452271826245e-8,5.419077351162208e-8,7.947504073129052e-8
infer/46,2.7072360222885633e-5,2.706327828962015e-5,2.7086808942789613e-5,3.7566436491383943e-8,2.821361640191609e-8,5.632770224567593e-8
infer/47,2.3273512876708733e-5,2.326979777372699e-5,2.3281654583594586e-5,1.7048877120395807e-8,9.700855804492912e-9,3.13893118487622e-8
infer/48,2.9783628160482752e-5,2.9765042693250675e-5,2.9815120782056823e-5,7.762717891100066e-8,4.695360144734858e-8,1.1593089015130461e-7
infer/49,7.268932968792759e-5,7.267071395851704e-5,7.272602425957098e-5,8.697066906941491e-8,4.4697343778737356e-8,1.7004237132476575e-7
infer/50,1.8164222676828678e-5,1.815475961536211e-5,1.8178521633701214e-5,4.0708261948755255e-8,2.4904371480347175e-8,6.97541578471989e-8
infer/51,2.633454503834058e-5,2.629333124044647e-5,2.645562753673812e-5,2.2724561511004703e-7,9.307036898219971e-8,4.3152554408069835e-7
infer/52,4.583675227768424e-5,4.5821603258633484e-5,4.586915205774382e-5,6.908951741888363e-8,2.4311749085875584e-8,1.1464639266713307e-7
infer/53,5.674365086468082e-5,5.67264883025236e-5,5.6800845717075735e-5,1.0051501231504476e-7,2.225906285746764e-8,2.096899801175749e-7
