Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
infer/30,1.1290503866611119e-5,1.1282495074632741e-5,1.1298828907581123e-5,2.7334100725225123e-8,2.3448546887995733e-8,3.320873924834257e-8
infer/31,6.092458408915765e-6,6.085108181648489e-6,6.098292150974149e-6,2.2741465135855625e-8,1.780284439694373e-8,3.079924324678989e-8
infer/32,1.6037175633998013e-5,1.603369903360854e-5,1.604319933640307e-5,1.4399397732054539e-8,8.201472743347545e-9,2.6455995632698202e-8
infer/33,1.815981592449877e-5,1.814185951310756e-5,1.8179690717843036e-5,6.667361754708941e-8,5.6041964265100244e-8,8.810701896569804e-8
infer/34,2.8236137430454344e-5,2.8231046946844217e-5,2.8243957308363874e-5,2.1860227580445204e-8,1.3785303436503618e-8,3.938195471451117e-8
infer/35,2.2232793823358308e-5,2.2227551764794152e-5,2.2241106537368763e-5,2.2746717188460256e-8,1.48553840857795e-8,3.514681700931673e-8
infer/36,1.4962378536990815e-5,1.4944249406688078e-5,1.5032015413706899e-5,1.0829545725342905e-7,1.9501774996483827e-8,2.2592181357660898e-7
infer/37,1.2893967726666826e-5,1.288820435852153e-5,1.2901627325041793e-5,2.314199751546639e-8,1.9083267475749245e-8,3.061191279553553e-8
infer/38,2.910860413165811e-5,2.9100942874832395e-5,2.912435428729203e-5,3.4908705417747736e-8,1.967405674035028e-8,6.34903451773113e-8
infer/39,2.380605551249054e-5,2.3800434869754196e-5,2.3817507678985544e-5,2.5675105597309003e-8,1.5227551902128372e-8,4.9809684323473246e-8
infer/40,2.8787107486236414e-5,2.8775255736800936e-5,2.8801000323197162e-5,4.081204995819307e-8,3.133563790572656e-8,6.587707873917047e-8
infer/41,8.356171145049863e-6,8.346671945175434e-6,8.367274361032909e-6,3.310254064749085e-8,2.839745124393278e-8,4.4874895174144534e-8
infer/42,2.963858403741308e-5,2.962628569881244e-5,2.9658922285802772e-5,5.102984379047295e-8,3.208407704756568e-8,9.379292590126122e-8
