Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
infer/1,1.9056100324773245e-8,1.905147431914676e-8,1.9069833297558305e-8,2.1668097740543597e-11,8.82139154554213e-12,4.763979944520721e-11
infer/10,3.2213551462521506e-7,3.213042561394857e-7,3.2272940586097367e-7,2.2764797424285477e-9,1.6588189336817342e-9,2.894925688845327e-9
infer/100,7.113833814143865e-6,7.111979472797644e-6,7.117370531483213e-6,8.177442052131218e-9,5.324312672576653e-9,1.383229469885609e-8
infer/1000,4.9543540882290775e-5,4.953146157297386e-5,4.9569619501670705e-5,5.730184065484536e-8,3.043707891604635e-8,1.0353699550991207e-7
infer/10000,7.369309593038728e-4,7.35813578460857e-4,7.3953916815158e-4,5.5223959016444185e-6,1.7181446628457886e-6,9.695216411935262e-6
infer/100000,1.4871254667253272e-2,1.4864234708503721e-2,1.488627116698537e-2,2.3848508057338292e-5,1.223815885715036e-5,4.522585773090293e-5
