Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
infer/1,3.7488752832057695e-8,3.7460761564667705e-8,3.7572891806118467e-8,1.4597871971705228e-10,3.919551986496559e-11,2.9020238942284805e-10
infer/10,2.6927600837090023e-7,2.689836239439912e-7,2.708962405777577e-7,1.7873470534929915e-9,2.5270668562629853e-10,4.327818378513784e-9
infer/100,2.4495372698755818e-6,2.4470987804375167e-6,2.45912780763462e-6,1.4596318230778513e-8,2.573460108819497e-9,3.071242905735955e-8
infer/1000,2.833190511145363e-5,2.8296014938315492e-5,2.847077228785163e-5,2.1571402995108437e-7,3.7536882380413914e-8,4.526146959339337e-7
infer/10000,6.730381537587789e-4,6.700017089760098e-4,6.770155016221691e-4,1.1391590660727299e-5,7.862832514840833e-6,1.982354737547866e-5
infer/100000,2.4974901837556292e-2,2.4705597000131592e-2,2.5127399181799175e-2,4.552098637525405e-4,2.5083248851071174e-4,6.520143298025776e-4
