Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
infer/1,1.906061018483527e-8,1.9053372229415785e-8,1.907317906434294e-8,3.0935562721254295e-11,2.1003826681592285e-11,4.5327720835116347e-11
infer/10,2.681255723419537e-7,2.6661773680264263e-7,2.6938608035602904e-7,4.651524824247409e-9,3.867467601717826e-9,5.910344970427251e-9
infer/100,3.056734810946944e-6,3.055561763261206e-6,3.059247657520797e-6,5.358316775207124e-9,3.450580162410375e-9,7.935520033920088e-9
infer/1000,3.345105731878366e-5,3.342992811800667e-5,3.3489066640245525e-5,8.845002148368011e-8,5.388716461873128e-8,1.263262377585016e-7
infer/10000,3.840611527946188e-4,3.8373816709759455e-4,3.8467280430366926e-4,1.4162563578072921e-6,8.0938364388045e-7,2.2366614860096278e-6
infer/100000,6.771584216963527e-3,6.740607655305938e-3,6.916825938909366e-3,1.5534702695597783e-4,3.172324183429855e-5,3.366645238034248e-4
