Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
infer/1,3.968058721306465e-8,3.9647679857940964e-8,3.9753664536580025e-8,1.5615227760159974e-10,6.831154028181738e-11,2.9496683805630005e-10
infer/10,4.316767678405827e-7,4.309189017956337e-7,4.325569599845249e-7,2.72109255141509e-9,2.3613731991090784e-9,3.11936703221923e-9
infer/100,4.1340382732980175e-6,4.130935793448581e-6,4.137922311347447e-6,1.2037067656431043e-8,1.0391403343312148e-8,1.4963142908679306e-8
infer/1000,4.30239200613834e-5,4.296923493656724e-5,4.323455340651236e-5,3.210285271358081e-7,4.7296004299333896e-8,6.762236379858485e-7
infer/10000,5.258169339397894e-4,5.251931805612621e-4,5.269681789835332e-4,2.7552608839467522e-6,1.8021303029109876e-6,4.523626879958084e-6
infer/100000,1.150747540013979e-2,1.1428650108493097e-2,1.1581993088403084e-2,2.12601069058047e-4,1.6115044349933232e-4,2.85694477213822e-4
