Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
infer/1,4.52881841774024e-8,4.5147760280157515e-8,4.5727710372418375e-8,7.587479626893198e-10,7.96297649218446e-11,1.5478478358680667e-9
infer/10,2.582925108983847e-7,2.577977108383504e-7,2.5878381392315803e-7,1.5999166250544055e-9,1.3743800230420482e-9,1.8974869034898854e-9
infer/100,1.5106087603336187e-6,1.509910006248907e-6,1.5118013991912441e-6,2.9346139270130483e-9,1.9621233353039052e-9,4.476736127713962e-9
infer/1000,1.4443961480308924e-5,1.4428125739109312e-5,1.445607502079361e-5,4.6371526514824244e-8,2.9053962281562177e-8,7.091059974059526e-8
infer/10000,2.1982368404526077e-4,2.1964747624103219e-4,2.2017562566381888e-4,7.941632515003559e-7,4.1358331439101654e-7,1.4586014289503057e-6
infer/100000,8.0951378278974e-3,7.954375497875359e-3,8.409206497534731e-3,5.620040388721004e-4,3.2223615276127373e-4,9.836960436425944e-4
