Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
infer/1,3.9027215338073675e-8,3.901445241855396e-8,3.905306277045844e-8,5.709707013186975e-11,2.7288882684236983e-11,9.107058674517219e-11
infer/10,1.7868667610695719e-7,1.7862577524491445e-7,1.7878582225818455e-7,2.5260000233112285e-10,1.6421207682557576e-10,3.751774431886766e-10
infer/100,1.1118682487658896e-6,1.1089919974042731e-6,1.1152231798195478e-6,1.0309133793426374e-8,9.823286372019552e-9,1.1337392976760778e-8
infer/1000,1.0911268992723296e-5,1.0906099048995797e-5,1.0920577922463712e-5,2.192447828850014e-8,1.2458494409511166e-8,3.5972696139251e-8
infer/10000,2.0932033226665384e-4,2.0917524968033568e-4,2.0953590656451785e-4,6.035216820498109e-7,4.4542212606453185e-7,8.720356847687319e-7
infer/100000,5.876646099129963e-3,5.848069196510761e-3,5.916317141147144e-3,9.900311174198475e-5,7.656600450087534e-5,1.4092117180189534e-4
