Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
infer/1,5.177819220461619e-8,5.174554474654998e-8,5.184419629500685e-8,1.491730982880468e-10,8.856905792759773e-11,2.4736445005287657e-10
infer/10,3.8179943984404247e-7,3.815177850224401e-7,3.8213317851869686e-7,1.065094129042977e-9,8.954901558051924e-10,1.2564687322253837e-9
infer/100,3.233373748759346e-6,3.2322451248130347e-6,3.2359305213199373e-6,5.328066328658841e-9,3.2887721652081948e-9,9.783439870934093e-9
infer/1000,2.6608225041097573e-5,2.6600082367293154e-5,2.6615871607501677e-5,2.5778810553090867e-8,2.1674647632507428e-8,3.061201812501021e-8
infer/10000,2.9698084766714136e-4,2.9686500809035044e-4,2.971794348893586e-4,4.919938577235395e-7,2.786370527599839e-7,7.410006284560873e-7
infer/100000,4.818235897029978e-3,4.813160674544885e-3,4.834020455934781e-3,2.456494393205322e-5,9.19383989729121e-6,4.943264533363038e-5
