Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
infer/1,5.192433824496544e-8,5.175278645344709e-8,5.3078237723769636e-8,1.0878415167620641e-9,5.7926403903303626e-11,2.807434918362301e-9
infer/10,2.1811224660769887e-7,2.1747765982698102e-7,2.1923769232794576e-7,2.808356751379377e-9,1.9065981824559734e-9,4.667969360349901e-9
infer/100,1.7049139975717854e-6,1.7032018974392193e-6,1.706628037257774e-6,5.554433879380479e-9,4.354497300235467e-9,7.138915312347873e-9
infer/1000,1.7642784645034833e-5,1.7636767437521577e-5,1.7651836993641134e-5,2.5162588833139598e-8,1.7533500710652503e-8,3.748806098113113e-8
infer/10000,2.503170507907638e-4,2.5006612989731525e-4,2.507704503567156e-4,1.0923053797995733e-6,5.868023210849774e-7,1.7299870644603792e-6
infer/100000,5.496899527633947e-3,5.456217468513213e-3,5.561308870925536e-3,1.6622840378673694e-4,1.0760594201400854e-4,2.615471759277235e-4
